ns,title,category
0,Bolo (1982 video game),1982 video games
0,Bop-A-Bet,1982 video games
0,Bubbles (video game),1982 video games
0,Buck Rogers: Planet of Zoom,1982 video games
0,Bump 'n' Jump,1982 video games
0,BurgerTime,1982 video games
0,Buzz Bombers,1982 video games
0,Call to Arms (1982 video game),1982 video games
0,Cannonball Blitz,1982 video games
0,Canyon Climber,1982 video games
0,Casino (1982 video game),1982 video games
0,CatChum,1982 video games
0,Cave of the Word Wizard,1982 video games
0,Championship Blackjack,1982 video games
0,Championship Golf,1982 video games
0,Check Man,1982 video games
0,Chess 7.0,1982 video games
0,Chicken (video game),1982 video games
0,Chisholm Trail (video game),1982 video games
0,Choplifter,1982 video games
0,Chopper Command,1982 video games
0,Claim Jumper (video game),1982 video games
0,Classic Adventure,1982 video games
0,Clipper (video game),1982 video games
0,Close Assault,1982 video games
0,Communist Mutants from Space,1982 video games
0,Computer Facts in Five,1982 video games
0,Computer Foreign Exchange,1982 video games
0,Computer Stocks & Bonds,1982 video games
0,Controller (video game),1982 video games
0,Cosmic Ark,1982 video games
0,The Cosmic Balance,1982 video games
0,Cosmic Chasm,1982 video games
0,Cosmic Crusader,1982 video games
0,Countdown to Doom,1982 video games
0,Crazy Mazey,1982 video games
0,Crystal Caverns (video game),1982 video games
0,Custer's Revenge,1982 video games
0,Cyborg (video game),1982 video games
0,Cytron Masters,1982 video games
0,David's Midnight Magic,1982 video games
0,Deadline (video game),1982 video games
0,Deadly Duck,1982 video games
0,Demon Attack,1982 video games
0,Demon Seed (video game),1982 video games
0,Demons to Diamonds,1982 video games
0,Devil Fish (video game),1982 video games
0,Dig Dug,1982 video games
0,Disco No. 1,1982 video games
0,Dnieper River Line,1982 video games
0,Donkey Kong Jr.,1982 video games
0,Dragonfire (video game),1982 video games
0,Dragonstomper,1982 video games
0,Dung Beetles (video game),1982 video games
0,Dungeon! (video game),1982 video games
0,Dungeons of Daggorath,1982 video games
0,Dunnet (video game),1982 video games
0,Dunzhin,1982 video games
0,E.T. the Extra-Terrestrial (video game),1982 video games
0,Early Games,1982 video games
0,Eggomania,1982 video games
0,Empire II: Interstellar Sharks,1982 video games
0,Entombed (Atari 2600),1982 video games
0,Epidemic!,1982 video games
0,Escape (video game),1982 video games
0,Escape from Rungistan,1982 video games
0,Escape from the Dungeons of the Gods,1982 video games
0,Escape from the Mindmaster,1982 video games
0,Executive Suite (video game),1982 video games
0,Eyes (video game),1982 video games
0,Fast Food (1982 video game),1982 video games
0,Felix in the Factory,1982 video games
0,The Final Conflict (video game),1982 video games
0,Fire Fighter (video game),1982 video games
0,Fireball (video game),1982 video games
0,Firebug (video game),1982 video games
0,Flight Simulation (Psion software),1982 video games
0,Flockland Island Crisis,1982 video games
0,Floyd of the Jungle,1982 video games
0,Football Manager (1982 series),1982 video games
0,Fore! (video game),1982 video games
0,Fort Apocalypse,1982 video games
0,Frantic (video game),1982 video games
0,Frenzy (1982 video game),1982 video games
0,Frogs and Flies,1982 video games
0,Front Line (video game),1982 video games
0,Galactic Adventures,1982 video games
0,Galactic Gladiators,1982 video games
0,Galahad and the Holy Grail,1982 video games
0,Gertrude's Puzzles,1982 video games
0,Gertrude's Secrets,1982 video games
0,Getaway! (video game),1982 video games
0,Golf Challenge (video game),1982 video games
0,Gopher (video game),1982 video games
0,Grand Prix (video game),1982 video games
0,Gravitar,1982 video games
0,Great Britain Ltd,1982 video games
0,Gridrunner,1982 video games
0,Guadalcanal Campaign (video game),1982 video games
0,Hack (video game),1982 video games
0,Haunted House (video game),1982 video games
0,Hazard Run,1982 video games
0,Hi-Res Computer Golf 2,1982 video games
0,The Hobbit (1982 video game),1982 video games
0,Horace (video game series),1982 video games
0,Horse Racing Classic,1982 video games
0,Jack the Giantkiller,1982 video games
0,Journey Escape,1982 video games
0,Journey to the Planets,1982 video games
0,Joust (video game),1982 video games
0,Jovian (video game),1982 video games
0,Jungle Hunt,1982 video games
0,K.C.'s Krazy Chase!,1982 video games
0,Kangaroo (video game),1982 video games
0,Karate (video game),1982 video games
0,Kid Grid,1982 video games
0,King Kong (Atari 2600),1982 video games
0,Klondike Adventure,1982 video games
0,Kozmik Krooz'r,1982 video games
0,Lazer Maze,1982 video games
0,Legionnaire (video game),1982 video games
0,Leprechaun (video game),1982 video games
0,Liberator (video game),1982 video games
0,Loco-Motion (video game),1982 video games
0,Lost Luggage (video game),1982 video games
0,Lost Tomb,1982 video games
0,Lunar Leepers,1982 video games
0,Mad Mines,1982 video games
0,Mars Cars,1982 video games
0,The Mask of the Sun,1982 video games
0,Mazogs,1982 video games
0,Megamania,1982 video games
0,Meteor Mission II,1982 video games
0,Microbe: The Anatomical Adventure,1982 video games
0,Microsoft Flight Simulator 1.0,1982 video games
0,Microsurgeon (video game),1982 video games
0,Millionaire: The Stock Market Simulation,1982 video games
0,Millipede (video game),1982 video games
0,Mine Storm,1982 video games
0,Miner 2049er,1982 video games
0,The Missing Ring,1982 video games
0,Money Munchers,1982 video games
0,Monster Maze,1982 video games
0,Moon Patrol,1982 video games
0,Motor Mania (video game),1982 video games
0,Mr. Do!,1982 video games
0,Ms. Pac-Man,1982 video games
0,Munch Man,1982 video games
0,Name This Game,1982 video games
0,Nautilus (video game),1982 video games
0,Necromancer (video game),1982 video games
0,Nibbler (video game),1982 video games
0,Night Life (video game),1982 video games
0,Night Mission Pinball,1982 video games
0,Night Stalker (video game),1982 video games
0,Old Ironsides (video game),1982 video games
0,Operation Sabotage,1982 video games
0,Pac-Man (Atari 2600),1982 video games
0,Pac-Man Plus,1982 video games
0,Pacific Coast Highway (video game),1982 video games
0,Paratrooper (video game),1982 video games
0,Parsec (video game),1982 video games
0,Penetrator (video game),1982 video games
0,Pengo (video game),1982 video games
0,Pepper II,1982 video games
0,Phantom Slayer (video game),1982 video games
0,Phaser Patrol,1982 video games
0,Pickaxe Pete,1982 video games
0,Picnic Paranoia (video game),1982 video games
0,Pimania,1982 video games
0,Pinball Construction Set,1982 video games
0,The Pit (video game),1982 video games
0,Pitfall!,1982 video games
0,PlatterMania,1982 video games
0,Pole Position,1982 video games
0,Ponpoko,1982 video games
0,Pooyan,1982 video games
0,Popeye (video game),1982 video games
0,Preppie! (video game),1982 video games
0,Prisoner 2,1982 video games
0,Probe One: The Transmitter,1982 video games
0,Protector II,1982 video games
0,Pursuit of the Graf Spee (video game),1982 video games
0,Q*bert,1982 video games
0,Quantum (video game),1982 video games
0,Queen of Phobos,1982 video games
0,Raiders of the Lost Ark (video game),1982 video games
0,Reactor (video game),1982 video games
0,Realm of Nauga,1982 video games
0,RealSports Football,1982 video games
0,RealSports Volleyball,1982 video games
0,Rear Guard (video game),1982 video games
0,Reign of the Red Dragon,1982 video games
0,Rendezvous: A Space Shuttle Simulation,1982 video games
0,Rescue (1982 video game),1982 video games
0,Riddle of the Sphinx (Atari 2600),1982 video games
0,River Raid,1982 video games
0,River Rescue,1982 video games
0,The Road to Gettysburg,1982 video games
0,Robotron: 2084,1982 video games
0,Rocky's Boots,1982 video games
0,S. E. U. I. S.,1982 video games
0,Salmon Run (video game),1982 video games
0,Satan's Hollow,1982 video games
0,Sea Dragon (video game),1982 video games
0,Seafox (video game),1982 video games
0,Serpentine (video game),1982 video games
